Vessel Name: 20241018 CDKn2a KO Growth Assay EAS
Metric: AP009 Object Count Per Well (Per Well)
Cell Type: AP009 Edited & Sorted, AP009 WT, KPCY c4, KPCY c2
Passage: 1
Notes: 
Analysis: 20241021 AP009 Cell Definition EAS

Date Time	Elapsed	AP009 Edited & Sorted (7) 2.5K / well (A1)	AP009 Edited & Sorted (7) 2.5K / well (A2)	AP009 Edited & Sorted (7) 2.5K / well (A3)	AP009 Edited & Sorted (7) 1250 / well (A4)	AP009 Edited & Sorted (7) 1250 / well (A5)	AP009 Edited & Sorted (7) 1250 / well (A6)	AP009 WT (9) 2.5K / well (B1)	AP009 WT (9) 2.5K / well (B2)	AP009 WT (9) 2.5K / well (B3)	AP009 WT (9) 1250 / well (B4)	AP009 WT (9) 1250 / well (B5)	AP009 WT (9) 1250 / well (B6)	KPCY c4 (8) 2.5K / well (C1)	KPCY c4 (8) 2.5K / well (C2)	KPCY c4 (8) 2.5K / well (C3)	KPCY c4 (8) 1250 / well (C4)	KPCY c4 (8) 1250 / well (C5)	KPCY c4 (8) 1250 / well (C6)	KPCY c2 (9) 2.5K / well (D1)	KPCY c2 (9) 2.5K / well (D2)	KPCY c2 (9) 2.5K / well (D3)	KPCY c2 (9) 1250 / well (D4)	KPCY c2 (9) 1250 / well (D5)	KPCY c2 (9) 1250 / well (D6)
10/18/2024 6:04:00 PM	0	1566.111	1948.778	2459	1775.667	1320.111	891.8889	1201.667	1666.333	1821.111	1046.778	1001.333	727.8889	964.7778	1138	1283.667	755.2222	645.8889	491.1111	1602.444	1556.889	1730	846.3333	809.8889	645.8889
10/18/2024 10:04:00 PM	4	1538.778	1957.889	2440.778	1720.889	1347.444	901	1247.222	1693.667	1793.778	1083.222	1074.111	746.1111	1028.556	1192.667	1329.222	791.6667	673.2222	482	1593.333	1675.333	1702.667	855.4445	764.3333	645.8889
10/19/2024 2:04:00 AM	8	1611.667	1939.667	2431.667	1720.889	1338.333	928.3333	1256.333	1739.222	1784.667	1046.778	1019.556	773.4445	1165.222	1210.889	1402.111	837.2222	636.7778	500.2222	1566	1693.556	1702.667	846.3333	828.1111	645.8889
10/19/2024 6:04:00 AM	12	1538.778	1894.111	2422.556	1684.444	1292.778	910.1111	1256.333	1693.667	1812	1046.778	1010.444	764.3333	1338.333	1220	1484.111	928.3333	700.5555	518.4445	1584.222	1693.556	1675.333	855.4445	782.5555	673.2222
10/19/2024 10:04:00 AM	16	1520.556	1875.889	2477.222	1666.222	1283.667	891.8889	1292.778	1757.444	1802.889	1001.222	992.2222	782.5555	1311.111	1292.778	1538.778	1065	727.8889	518.4445	1611.556	1702.667	1675.333	855.4445	819	655
10/19/2024 2:04:00 PM	20	1602.556	1857.667	2413.444	1830.222	1347.444	882.7778	1393	1812.111	1830.222	1001.222	1019.556	837.2222	1411.222	1229	1611.667	1128.778	764.3333	545.7778	1566	1775.556	1702.667	864.5555	746.1111	718.7778
10/19/2024 6:04:00 PM	24	1557	2103.667	2513.667	1903.111	1475	910.1111	1393	1803	1766.444	1092.333	1001.333	828.1111	1502.333	1274.556	1739.111	1229	782.5555	582.2222	1620.667	1775.556	1812	973.8889	755.2222	737
10/19/2024 10:04:00 PM	28	1611.667	2222	2632	2140	1484.111	1083.222	1438.556	1985.222	2076.222	1201.667	1028.556	873.6667	1675.333	1420.333	1957.778	1465.889	864.5555	591.3333	1720.889	1720.889	1821.111	1010.333	809.8889	755.2222
10/20/2024 2:04:00 AM	32	1602.556	2440.667	2814.111	2176.444	1575.222	1092.333	1566.111	1967	2276.667	1383.889	1001.333	946.5555	1848.444	1420.333	2322.222	1547.778	1001.222	636.8889	1748.222	1793.778	1875.778	1001.222	864.5555	809.8889
10/20/2024 6:04:00 AM	36	1721	2577.333	3269.667	2258.444	1975.889	1083.222	1803	2130.889	2604.667	1566.111	1147.111	1028.556	2203.667	1684.556	2932.333	1757.333	1165.222	755.3333	1702.667	2030.667	2240.111	1210.778	828.1111	809.8889
10/20/2024 10:04:00 AM	40	1948.778	2923.556	3843.556	2677.444	2085.222	1338.333	1967	2595.556	3032.667	1848.556	1393.111	1247.222	2577.222	2185.667	3369.667	2003.333	1229	855.5555	2149.111	2249.333	2677.444	1320.111	837.2222	809.8889
10/20/2024 2:04:00 PM	44	2294.889	3379	4490.333	3579.111	2768.556	1511.444	2495.222	3114.556	3542.778	2267.444	1903.222	1338.333	2804.889	2549.889	4326.222	2340.444	1338.333	892	2531.667	2376.889	3123.778	1429.444	1037.667	773.4445
10/20/2024 6:04:00 PM	48	2622.889	4098.556	5783.889	4499.222	3306	2003.333	3142	3561	4226	2859.667	2213	1484.111	3570	3123.778	5319.222	2932.444	1684.556	1001.333	2559	3078.222	3378.889	1602.556	946.5555	1046.778
10/20/2024 10:04:00 PM	52	3242.222	5036.778	7022.667	5710.889	4153.222	2531.667	3643.222	4499.444	5164.444	3087.333	2987.222	2549.889	4144	4016.556	6375.889	3105.556	1912.222	1356.667	2732.111	3661.222	3943.667	1948.667	1046.778	1010.333
10/21/2024 2:04:00 AM	56	4390.111	6603.667	9536.667	7651.111	5492.222	3132.889	4672.444	5519.556	6375.889	3552	4016.556	2969	4891.111	5173.556	7177.556	3916.222	2550	1283.778	3251.333	4490.222	4827.444	2021.444	1238.111	1083.222
10/21/2024 6:04:00 AM	60	5109.778	8334.556	11750.44	8880.889	7350.556	4080.333	5601.667	6530.778	7569.222	4654.111	4736.333	3907.444	5665.333	6120.889	8425.556	4617.667	3224	1493.333	4016.556	4973	5592.556	2568.111	1538.778	1356.556
10/21/2024 10:04:00 AM	64	6530.889	9682.556	13845.67	11222	8799.111	5674.444	6120.778	7578.444	8808.111	5710.778	5656.333	4873	6758.333	7305.222	10001.44	5528.667	3779.778	1739.333	4945.889	5884.111	6749.444	2795.889	1657.222	1693.556
10/21/2024 2:04:00 PM	68	7669.667	12233.22	18054	14091.56	11103.67	7578.333	7906.333	8471	10311.22	6995.222	6904.333	5902.222	8143.333	8644.111	11759.44	6740.222	4463	2358.778	6075.333	6749.444	7897.111	3041.889	2067.222	2003.333
10/21/2024 6:04:00 PM	72	9281.777	15093.44	20932.78	17398.11	13891	9300	8680.667	10666.44	12433.67	8033.778	8808.111	7204.889	9728.223	10384	13699.67	7496.111	5629	2477.333	6603.889	7596.667	8926.667	3998.444	2458.778	2313.111
10/21/2024 10:04:00 PM	76	10794.22	16496.45	24102.67	19302.11	17416.45	11295	9919.667	12369.78	13900.22	9709.777	9955.889	8544	10985.22	12779.89	16286.78	8871.667	6822.222	2805.111	7687.778	8762.667	10602.67	4262.556	2896.111	2759.444
10/22/2024 2:04:00 AM	80	13527	21479.22	27199.89	20786.67	16742.45	11741.44	11741.44	13781.67	15339.67	10994.22	11058.11	8689.889	13362.89	14756.56	18272.67	11431.44	8626	3342.556	7842.778	8607.556	11076.22	4718.111	3251.333	3351.556
10/22/2024 6:04:00 AM	84	16687.67	24184.78	30861.89	23793	23683.67	12752.56	12688.67	16715.11	17999.55	11622.78	11859.78	9810.223	15503.56	17106.67	18965	12078.22	10748.44	3743.444	9272.777	10629.89	13217.11	5292	4043.778	3752.444
10/22/2024 10:04:00 AM	88	19803.11	26717	33676.67	23291.89	17999.33	12433.56	14446.89	16687.55	18983.22	14692.78	13371.89	9518.777	16259.67	18473.11	24275.78	14947.67	12543	4299.222	10803.11	11067.33	14355.67	5428.889	4372	4189.556
10/22/2024 2:04:00 PM	92	24130	28265.67	34760.45	18099.55	17698.78	13180.56	14711	18063.11	21533.78	14856.67	14729.11	9409.333	17580.55	23565.22	24339.33	16997.33	14200.89	4927.778	11295	11887.22	14100.67	6230.333	5519.667	4708.889
10/22/2024 6:04:00 PM	96	28930.78	29768.67	39543.11	16432.67	18272.89	13955	15257.56	18473	20960.22	15466.89	13909.44	8871.889	21042	18919.55	31362.78	16979.22	16906.33	5255.556	10812.11	11158.44	16123	7086.667	6630.889	4891.111
10/22/2024 10:04:00 PM	100	29996.55	29249.45	38923.67	14000.33	20058.22	12470.22	16614.78	20021.78	19156.45	15904.33	15321.33	10110.78	21697.89	21397.11	26953.89	17589.55	19794	5374.111	13882	12579.56	17726.11	8143.222	7432.667	5674.444
10/23/2024 2:04:00 AM	104	28347.55	31863.89	34478.11	14000.33	19948.78	13453.89	14683.67	20632.11	16861	14328.44	13381	10183.78	23565.33	20413.67	24767.55	21178.55	20122	6312.333	14692.89	13535.89	18837.45	8753.556	7642.111	6631
10/23/2024 6:04:00 AM	108	23109.78	25232.33	27837.33	14965.78	22435.78	14528.89	14437.67	19548.11	15722.22	14364.78	13044	10274.89	25387.33	25842.33	24740.22	20085.45	20714	7123.111	15503.44	15767.67	19438.67	9664.444	7496.444	7305.111
10/23/2024 10:04:00 AM	112	21206	24257.55	21023.78	14911.33	23565.22	11140.11	12378.89	18163.45	16223.22	12725.33	11058.22	9792.111	28721	26243.33	29577.33	23455.89	18391.11	7687.889	16532.89	16988.22	22317.22	10511.67	9737.333	7141.222
