# File Name: /shared/data/ui/current_run/10.30.24 STUDY 12.3 LT3 Rpa CELLECTA CypA Rpa3 KO DAY 7 EAS_20241030_155057.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3R024IR
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-3
# Instrument Serial Number: 2778721010074
# Heated Cover Serial Number: 2779320120804
# Block Serial Number: 2778320110708
# Run Start Date/Time: 2024-10-30 03:53:47 PM EDT
# Run End Date/Time: 2024-10-30 06:01:37 PM EDT
# Run Duration: 127 minutes 49 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-10-30 06:02:11 PM EDT
# Exported On: 2024-10-30 06:02:14 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"1","A1","false","LT3 CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.5071735257260963","","","20.78963153181425","0.9724171871115924","20.71303137319757","0.16636656890209398","true","10923.979837372324","true","3","14","80.18048095703125","","",""
"2","A2","false","LT3 CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.527969669884417","","","20.827299793335058","0.982997698622576","20.71303137319757","0.16636656890209398","true","10923.979837372324","true","3","15","80.18048095703125","","",""
"3","A3","false","LT3 CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.5377163850784146","","","20.522162794443403","0.9892396457536099","20.71303137319757","0.16636656890209398","true","10923.979837372324","true","3","13","80.18048095703125","","",""
"4","A4","false","Ren - Dox No-RT Pool","CypA","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","10923.979837372324","true","3","39","74.52515411376953","81.51990509033203","92.83055877685547","85.24050903320312"
"5","A5","false","Ren - Dox No-RT Pool","CypA","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","10923.979837372324","true","3","39","77.0553970336914","84.79408264160156","88.66342163085938","81.52001953125"
"6","A6","false","Ren - Dox No-RT Pool","CypA","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","10923.979837372324","true","3","39","67.82849884033203","81.81766510009766","74.52543640136719","86.28228759765625"
"8","A8","false","LT3 Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.547076013647897","","","19.73498714658961","0.9864152361671092","19.547661019603105","0.31556575091412764","true","9892.546323366665","true","3","14","84.79408264160156","","",""
"9","A9","false","LT3 Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.560393681587845","","","19.72467014670412","0.9944539474028461","19.547661019603105","0.31556575091412764","true","9892.546323366665","true","3","13","84.79427337646484","","",""
"10","A10","false","LT3 Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.5534744040810313","","","19.183325765515583","0.8740336414901836","19.547661019603105","0.31556575091412764","true","9892.546323366665","true","3","12","84.79427337646484","","",""
"11","A11","false","Ren - Dox No-RT Pool","mRpa3 1","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","9892.546323366665","true","3","27","89.55668640136719","74.67414855957031","78.9900894165039","85.09192657470703"
"12","A12","false","Ren - Dox No-RT Pool","mRpa3 1","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","9892.546323366665","true","3","39","80.92481994628906","70.35821533203125","67.08406066894531","75.56710052490234"
"13","A13","false","Ren - Dox No-RT Pool","mRpa3 1","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","9892.546323366665","true","3","39","68.57209777832031","89.40702819824219","84.49594116210938","77.35253143310547"
"15","A15","false","LT3 CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7290001568953555","","","17.625161380171548","0.9802648452906152","17.667388567193083","0.0657944442130652","true","43568.30934548121","true","3","9","83.45419311523438","","",""
"16","A16","false","LT3 CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.737086959377675","","","17.63380702932524","0.9883073797963037","17.667388567193083","0.0657944442130652","true","43568.30934548121","true","3","10","83.45419311523438","","",""
"17","A17","false","LT3 CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.721062044472405","","","17.743197292082456","0.9840527499607205","17.667388567193083","0.0657944442130652","true","43568.30934548121","true","3","9","83.4546890258789","","",""
"18","A18","false","Cellecta Ren + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.720116509857931","","","17.29254899620618","0.9893180120759468","17.393835914628703","0.08917305548964466","true","43568.30934548121","true","3","11","83.4546890258789","","",""
"19","A19","false","Cellecta Ren + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.6932710375821403","","","17.428430886599728","0.9863279758001905","17.393835914628703","0.08917305548964466","true","43568.30934548121","true","3","11","83.30586242675781","","",""
"20","A20","false","Cellecta Ren + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.716038581277244","","","17.4605278610802","0.9867460841979743","17.393835914628703","0.08917305548964466","true","43568.30934548121","true","3","10","83.30586242675781","","",""
"25","B1","false","LT3 CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.5382632698127248","","","17.009949684989166","0.9812174402642285","17.18583670855532","0.16661648586460853","true","10923.979837372324","true","3","9","80.18048095703125","","",""
"26","B2","false","LT3 CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.524597923455726","","","17.34129962175507","0.9759830639618332","17.18583670855532","0.16661648586460853","true","10923.979837372324","true","3","13","80.03166198730469","","",""
"27","B3","false","LT3 CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.529767524460823","","","17.206260818921727","0.9793944955530048","17.18583670855532","0.16661648586460853","true","10923.979837372324","true","3","13","80.03166198730469","","",""
"28","B4","false","NTC","CypA","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","10923.979837372324","true","3","39","72.44161224365234","84.64521789550781","77.65046691894531","89.4075927734375"
"29","B5","false","NTC","CypA","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","10923.979837372324","true","3","16","75.41836547851562","87.6216812133789","72.29312133789062","80.77591705322266"
"30","B6","false","NTC","CypA","UNKNOWN","SYBR","None","No Amp","2.0245614445787345","","","Undetermined","0.0","","","true","10923.979837372324","true","3","39","80.03181457519531","86.5799331665039","68.87024688720703",""
"32","B8","false","LT3 Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.519169343820054","","","23.50324245697866","0.9788950799142032","24.381098517023137","0.7616104484176491","true","9892.546323366665","true","3","12","84.645263671875","","",""
"33","B9","false","LT3 Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.5437752868848746","","","24.774452118674837","0.9732435792449623","24.381098517023137","0.7616104484176491","true","9892.546323366665","true","3","18","84.79427337646484","","",""
"34","B10","false","LT3 Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.5426398943798914","","","24.865600975415916","0.9826045475789909","24.381098517023137","0.7616104484176491","true","9892.546323366665","true","3","16","84.79427337646484","","",""
"35","B11","false","NTC","mRpa3 1","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","9892.546323366665","true","3","39","77.20417785644531","86.43135070800781","90.59846496582031","72.4417724609375"
"36","B12","false","NTC","mRpa3 1","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","9892.546323366665","true","3","9","79.43656158447266","75.71592712402344","88.21725463867188","84.198974609375"
"37","B13","false","NTC","mRpa3 1","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","9892.546323366665","true","3","39","85.8353271484375","75.86432647705078","69.1673812866211","79.28720092773438"
"39","B15","false","LT3 CypA - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7322634957116225","","","17.908018160407416","0.9828253875595659","17.71186694760532","0.171684477705926","true","43568.30934548121","true","3","11","83.30536651611328","","",""
"40","B16","false","LT3 CypA - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.726617913385378","","","17.588909898875983","0.9797554640020342","17.71186694760532","0.171684477705926","true","43568.30934548121","true","3","8","83.30536651611328","","",""
"41","B17","false","LT3 CypA - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7317697339267006","","","17.638672783532556","0.9838027804057027","17.71186694760532","0.171684477705926","true","43568.30934548121","true","3","9","83.30586242675781","","",""
"42","B18","false","Cellecta Ren - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7329576884137965","","","16.959371506369862","0.9790147515501328","17.049412677239868","0.20715536777829194","true","43568.30934548121","true","3","9","83.30586242675781","","",""
"43","B19","false","Cellecta Ren - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.6808656218408573","","","17.28635196176556","0.9661180599723584","17.049412677239868","0.20715536777829194","true","43568.30934548121","true","3","8","83.30586242675781","","",""
"44","B20","false","Cellecta Ren - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7219322714524643","","","16.902514563584184","0.9889933978235583","17.049412677239868","0.20715536777829194","true","43568.30934548121","true","3","9","83.30586242675781","","",""
"49","C1","false","UCOE CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.5444757679676213","","","20.915636016832465","0.987146140916814","20.955710350249372","0.1328011528151535","true","10923.979837372324","true","3","16","80.03166198730469","","",""
"50","C2","false","UCOE CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.5244459003216013","","","21.103933639607142","0.981010671065318","20.955710350249372","0.1328011528151535","true","10923.979837372324","true","3","15","79.8828353881836","","",""
"51","C3","false","UCOE CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.5173253967972853","","","20.847561394308507","0.9700268866168703","20.955710350249372","0.1328011528151535","true","10923.979837372324","true","3","12","79.8828353881836","","",""
"56","C8","false","UCOE Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.521489231114972","","","20.34076112877657","0.757427975874126","21.058989405671145","0.7374829829226979","true","9892.546323366665","true","3","13","84.645263671875","","",""
"57","C9","false","UCOE Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.5279340216065007","","","21.021881060149646","0.9374345560613201","21.058989405671145","0.7374829829226979","true","9892.546323366665","true","3","14","84.64544677734375","","",""
"58","C10","false","UCOE Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.526664933775657","","","21.814326028087223","0.9767464388925124","21.058989405671145","0.7374829829226979","true","9892.546323366665","true","3","18","84.64544677734375","","",""
"63","C15","false","UCOE CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.698211154994351","","","18.000036691826594","0.9753289331484118","17.949820931064625","0.07454035367506115","true","43568.30934548121","true","3","10","83.30536651611328","","",""
"64","C16","false","UCOE CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.692979427539057","","","17.985252685257834","0.974870161813091","17.949820931064625","0.07454035367506115","true","43568.30934548121","true","3","9","83.30536651611328","","",""
"65","C17","false","UCOE CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7154768588964693","","","17.864173416109445","0.9877576642024917","17.949820931064625","0.07454035367506115","true","43568.30934548121","true","3","11","83.30586242675781","","",""
"66","C18","false","KPCY C4","B-Actin","UNKNOWN","SYBR","None","Amp","2.720056706645036","","","17.077049906758177","0.9878060408954157","17.333449159703772","0.429676030819437","true","43568.30934548121","true","3","8","83.30586242675781","","",""
"67","C19","false","KPCY C4","B-Actin","UNKNOWN","SYBR","None","Amp","2.7131693163088575","","","17.093795474682203","0.9845663988048841","17.333449159703772","0.429676030819437","true","43568.30934548121","true","3","9","83.15703582763672","","",""
"68","C20","false","KPCY C4","B-Actin","UNKNOWN","SYBR","None","Amp","2.7081114233599335","","","17.82950209767094","0.9923517025422164","17.333449159703772","0.429676030819437","true","43568.30934548121","true","3","9","83.15703582763672","","",""
"73","D1","false","UCOE CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.501961252556536","","","19.03234126881562","0.9769722492523852","19.258314526317847","0.19575937430279922","true","10923.979837372324","true","3","13","79.8828353881836","","",""
"74","D2","false","UCOE CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.517828971186001","","","19.366422856417188","0.9914372679301989","19.258314526317847","0.19575937430279922","true","10923.979837372324","true","3","14","79.7340087890625","","",""
"75","D3","false","UCOE CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.515325590989184","","","19.37617945372073","0.9729671804803561","19.258314526317847","0.19575937430279922","true","10923.979837372324","true","3","14","79.7340087890625","","",""
"80","D8","false","UCOE Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.5060715402505283","","","24.66540333935278","0.9767224546994343","25.007415334868657","0.3063886623452656","true","9892.546323366665","true","3","20","84.49644470214844","","",""
"81","D9","false","UCOE Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.505049766148007","","","25.100032184104016","0.9554019782049002","25.007415334868657","0.3063886623452656","true","9892.546323366665","true","3","21","84.49662780761719","","",""
"82","D10","false","UCOE Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.4959432247500417","","","25.25681048114918","0.9771834327923467","25.007415334868657","0.3063886623452656","true","9892.546323366665","true","3","19","84.49662780761719","","",""
"87","D15","false","UCOE CypA - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7160472125926316","","","18.691913412810734","0.9787267223285048","18.773263610238942","0.08251478857117579","true","43568.30934548121","true","3","10","83.15654754638672","","",""
"88","D16","false","UCOE CypA - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7113523715078527","","","18.770981761123473","0.9815220365359152","18.773263610238942","0.08251478857117579","true","43568.30934548121","true","3","10","83.15654754638672","","",""
"89","D17","false","UCOE CypA - dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7077942857039785","","","18.85689565678262","0.9866734410789276","18.773263610238942","0.08251478857117579","true","43568.30934548121","true","3","12","83.15703582763672","","",""
"90","D18","false","CypA + Dox No-RT Pool","B-Actin","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","43568.30934548121","true","3","39","71.10202026367188","83.00820922851562","87.32420349121094","67.38134002685547"
"91","D19","false","CypA + Dox No-RT Pool","B-Actin","UNKNOWN","SYBR","None","No Amp","1.8877053223108349","","","Undetermined","0.0","","","true","43568.30934548121","true","3","14","92.38433074951172","74.82270812988281","87.77068328857422","69.31609344482422"
"92","D20","false","CypA + Dox No-RT Pool","B-Actin","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","43568.30934548121","true","3","39","86.43123626708984","75.56684112548828","81.37110900878906","88.9613037109375"
"97","E1","false","Cellecta CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.519737973292114","","","17.484846668505696","0.9566208348127768","17.77395713572461","0.2506409177310971","true","10923.979837372324","true","3","14","79.8828353881836","","",""
"98","E2","false","Cellecta CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.502993052192331","","","17.930011193164987","0.9783467174610392","17.77395713572461","0.2506409177310971","true","10923.979837372324","true","3","14","79.7340087890625","","",""
"99","E3","false","Cellecta CypA + dox","CypA","UNKNOWN","SYBR","None","Amp","2.474868354545103","","","17.907013545503148","0.9709012762119554","17.77395713572461","0.2506409177310971","true","10923.979837372324","true","3","12","79.7340087890625","","",""
"104","E8","false","Cellecta Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.4882836111892495","","","21.79486611304403","0.9772306823947456","22.002783822027776","0.1800822497462009","true","9892.546323366665","true","3","16","84.49644470214844","","",""
"105","E9","false","Cellecta Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.5086003592793533","","","22.10404334477164","0.9702735516017632","22.002783822027776","0.1800822497462009","true","9892.546323366665","true","3","17","84.49662780761719","","",""
"106","E10","false","Cellecta Rpa3 + dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.501758159968699","","","22.109442008267656","0.9717396707826762","22.002783822027776","0.1800822497462009","true","9892.546323366665","true","3","18","84.3478012084961","","",""
"111","E15","false","Cellecta CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.709928219616293","","","18.373982645744306","0.9890779843715631","18.455222877413032","0.11811859628002705","true","43568.30934548121","true","3","10","83.15654754638672","","",""
"112","E16","false","Cellecta CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.714608053280329","","","18.400964010559157","0.981440933156041","18.455222877413032","0.11811859628002705","true","43568.30934548121","true","3","11","83.15654754638672","","",""
"113","E17","false","Cellecta CypA + dox","B-Actin","UNKNOWN","SYBR","None","Amp","2.7013337149575367","","","18.59072197593563","0.984229339079329","18.455222877413032","0.11811859628002705","true","43568.30934548121","true","3","11","83.15703582763672","","",""
"114","E18","false","CypA - Dox No-RT Pool","B-Actin","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","43568.30934548121","true","3","39","82.85938262939453","93.12847137451172","69.9113998413086","74.376220703125"
"115","E19","false","CypA - Dox No-RT Pool","B-Actin","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","43568.30934548121","true","3","11","89.55661010742188","85.24061584472656","78.54338836669922","71.25084686279297"
"116","E20","false","CypA - Dox No-RT Pool","B-Actin","UNKNOWN","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","43568.30934548121","true","3","39","73.03677368164062","76.75746154785156","89.85426330566406","85.24061584472656"
"121","F1","false","Cellecta CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.4963148267589226","","","16.966950050641103","0.9788636582658047","17.25257916409409","0.3430457745702351","true","10923.979837372324","true","3","11","79.7340087890625","","",""
"122","F2","false","Cellecta CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.504068919612142","","","17.633075042366045","0.9759861191281393","17.25257916409409","0.3430457745702351","true","10923.979837372324","true","3","13","79.7340087890625","","",""
"123","F3","false","Cellecta CypA - dox","CypA","UNKNOWN","SYBR","None","Amp","2.5332809476429974","","","17.15771239927512","0.9741728491572946","17.25257916409409","0.3430457745702351","true","10923.979837372324","true","3","12","79.58518981933594","","",""
"128","F8","false","Cellecta Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.4830055748312896","","","22.682321924481634","0.9765239846781506","22.796803118061405","0.09931977582853709","true","9892.546323366665","true","3","17","84.34761810302734","","",""
"129","F9","false","Cellecta Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.489721971275355","","","22.859956422185114","0.9663213056691512","22.796803118061405","0.09931977582853709","true","9892.546323366665","true","3","19","84.3478012084961","","",""
"130","F10","false","Cellecta Rpa3 - dox","mRpa3 1","UNKNOWN","SYBR","None","Amp","2.4916491342756792","","","22.848131007517466","0.975340874819713","22.796803118061405","0.09931977582853709","true","9892.546323366665","true","3","17","84.3478012084961","","",""
