# File Name: /shared/data/ui/current_run/01-15-2025-MX1-IFNa-IFNb-A549-Amel2_20250116_144056.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3N02Y17
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-5
# Instrument Serial Number: 2778721110069
# Heated Cover Serial Number: 2779322062073
# Block Serial Number: 2778322122567
# Run Start Date/Time: 2025-01-16 04:41:55 PM EST
# Run End Date/Time: 2025-01-16 05:32:57 PM EST
# Run Duration: 51 minutes 1 seconds
# Sample Volume: 5.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2025-01-16 05:33:25 PM EST
# Exported On: 2025-01-16 05:33:26 PM EST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","Sample 1","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6672686862169033","","","25.11724551084226","0.9782163098425003","25.179603472558313","0.2454397253321795","true","30232.787256606887","true","3","18"
"1","A1","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.432430307824697","","","27.776972857646307","0.9738897376130163","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","19"
"2","A2","false","Sample 1","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6791800171448505","","","25.450207331465563","0.9595145451290011","25.179603472558313","0.2454397253321795","true","30232.787256606887","true","3","20"
"2","A2","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.430979544458909","","","28.26704019705167","0.928500898240901","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","22"
"3","A3","false","Sample 1","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.633212707081305","","","24.971357575367122","0.961298573540492","25.179603472558313","0.2454397253321795","true","30232.787256606887","true","3","20"
"3","A3","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3702552979316343","","","27.848769617135112","0.9144650678923826","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","19"
"5","A5","false","Sample 1","IFNa2","UNKNOWN","FAM","NFQ-MGB","Inconclusive","2.35135188474307","","","37.679325413580116","0.8511654077963458","37.44448112382277","0.3321199796211915","true","18886.582361434972","true","3","32"
"5","A5","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.4028941162667237","","","28.424498368612966","0.9627826954211761","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","22"
"6","A6","false","Sample 1","IFNa2","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","18886.582361434972","true","3","39"
"6","A6","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.395922980665229","","","28.390957221117525","0.9207275109206633","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","23"
"7","A7","false","Sample 1","IFNa2","UNKNOWN","FAM","NFQ-MGB","Inconclusive","2.387170248873895","","","37.20963683406542","0.7872198455533903","37.44448112382277","0.3321199796211915","true","18886.582361434972","true","3","32"
"7","A7","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.366344170883964","","","28.31165923819878","0.9660877005199633","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","22"
"9","A9","false","Sample 1","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.621380568233794","","","32.648220052377326","0.9452273624549349","32.94188576293825","0.6318205018764466","true","10459.134441064032","true","3","27"
"9","A9","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.372016145763472","","","27.96669301005685","0.9432188988936058","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","21"
"10","A10","false","Sample 1","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.5257318276750502","","","33.66709348318244","0.9424947505463364","32.94188576293825","0.6318205018764466","true","10459.134441064032","true","3","26"
"10","A10","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3770998452875576","","","28.237929326090892","0.9611548310252913","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","21"
"11","A11","false","Sample 1","IFNb1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6642652931379294","","","32.510343753254986","0.9044691019871598","32.94188576293825","0.6318205018764466","true","10459.134441064032","true","3","27"
"11","A11","false","Sample 1","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3884655125381866","","","28.080411043868388","0.9018959926500901","28.14499231997539","0.23692846924883756","true","12679.83571224284","true","3","22"
"25","B1","false","Sample 2","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6228104019276377","","","26.140008462800843","0.9709821294648251","26.23073412739004","0.1233541045640666","true","30232.787256606887","true","3","19"
"25","B1","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.356538381749197","","","28.668653254786378","0.9550717550370033","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","20"
"26","B2","false","Sample 2","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.653097794213107","","","26.18100292490189","0.9593768967793326","26.23073412739004","0.1233541045640666","true","30232.787256606887","true","3","20"
"26","B2","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.399486709896268","","","28.705212239819325","0.9211194543120108","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","21"
"27","B3","false","Sample 2","MX1","UNKNOWN","FAM","NFQ-MGB","Amp","2.6355707051183","","","26.37119099446739","0.9661977567303971","26.23073412739004","0.1233541045640666","true","30232.787256606887","true","3","19"
"27","B3","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3825199570382005","","","28.77333447942685","0.9624171061516931","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","21"
"29","B5","false","Sample 2","IFNa2","UNKNOWN","FAM","NFQ-MGB","Amp","2.516663051824551","","","36.24164754327147","0.8909816648871985","36.5241450280655","0.4295917612058301","true","18886.582361434972","true","3","29"
"29","B5","false","Sample 2","GUSB","UNKNOWN","VIC","NFQ-MGB","Amp","2.3515604124627","","","28.99075852685635","0.9436901426337876","28.921550573716665","0.2406475726262816","true","12679.83571224284","true","3","20"
