# File Name: /Users/easosa/Desktop/09.10.2024 GEMM Inducible Myc_20240910_104642.eds
# Comment: 
# Operator: Prem P.
# Barcode: H3U0BT8D
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-5
# Instrument Serial Number: 2778721110069
# Heated Cover Serial Number: 2779322062073
# Block serial number: 2778322122567
# Run Start Date/Time: 2024-09-10 10:50:06 AM EDT
# Run End Data/Time: 2024-09-10 11:39:33 AM EDT
# Run Duration: 49 minutes 26 seconds
# Sample Volume: 5.0
# Cover Temperature: 105.0
# Passive Reference: NONE
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-09-14 08:30:48 PM EDT
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-09-14 08:30:57 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","K70 cre+dox d3","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.56794895398851","","","32.19499684042665","0.8970965881146117","32.06127101512315","0.351078168154009","TRUE","35216.625512607425","TRUE","3","23"
"1","A1","FALSE","K70 cre+dox d3","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.444679568827935","","","18.003811119644354","0.9155598350624882","18.026709986999915","0.06647603054911326","TRUE","13862.15352123108","TRUE","3","11"
"2","A2","FALSE","K70 cre+dox d3","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.5940097954239243","","","32.325835217972866","0.8932229317239745","32.06127101512315","0.351078168154009","TRUE","35216.625512607425","TRUE","3","25"
"2","A2","FALSE","K70 cre+dox d3","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.451692853496207","","","18.101608566006192","0.9132402504250271","18.026709986999915","0.06647603054911326","TRUE","13862.15352123108","TRUE","3","10"
"3","A3","FALSE","K70 cre+dox d3","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.601820934204993","","","31.662980986969913","0.8995713297990672","32.06127101512315","0.351078168154009","TRUE","35216.625512607425","TRUE","3","22"
"3","A3","FALSE","K70 cre+dox d3","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.450997193847223","","","17.974710275349196","0.9329892048206971","18.026709986999915","0.06647603054911326","TRUE","13862.15352123108","TRUE","3","11"
"25","B1","FALSE","K71 cre+dox d3","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.603821832352511","","","31.70914961335862","0.8998397254095546","31.52040725623213","0.33613207386711924","TRUE","35216.625512607425","TRUE","3","22"
"25","B1","FALSE","K71 cre+dox d3","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4685436471159163","","","18.06692055486446","0.9241264401498057","18.187175986748873","0.11154325571110227","TRUE","13862.15352123108","TRUE","3","12"
"26","B2","FALSE","K71 cre+dox d3","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.599199208732485","","","31.719748544295676","0.8882503059946217","31.52040725623213","0.33613207386711924","TRUE","35216.625512607425","TRUE","3","25"
"26","B2","FALSE","K71 cre+dox d3","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4534824009893015","","","18.207355345761343","0.9275775440488644","18.187175986748873","0.11154325571110227","TRUE","13862.15352123108","TRUE","3","13"
"27","B3","FALSE","K71 cre+dox d3","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.5936823972624317","","","31.13232361104209","0.9110558032031006","31.52040725623213","0.33613207386711924","TRUE","35216.625512607425","TRUE","3","24"
"27","B3","FALSE","K71 cre+dox d3","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4495137204459425","","","18.28725205962082","0.92488177105943","18.187175986748873","0.11154325571110227","TRUE","13862.15352123108","TRUE","3","12"
"49","C1","FALSE","K70 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6380741785484934","","","29.1539975902162","0.9217351333354422","29.198611288163136","0.04089005973768127","TRUE","35216.625512607425","TRUE","3","24"
"49","C1","FALSE","K70 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4963157412714256","","","16.923670337095643","0.9475460308005238","16.955407971431253","0.037884817208041995","TRUE","13862.15352123108","TRUE","3","10"
"50","C2","FALSE","K70 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6411129658048247","","","29.207531186325483","0.909674665645442","29.198611288163136","0.04089005973768127","TRUE","35216.625512607425","TRUE","3","23"
"50","C2","FALSE","K70 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4954865972505167","","","16.997349788042214","0.9204057414479248","16.955407971431253","0.037884817208041995","TRUE","13862.15352123108","TRUE","3","12"
"51","C3","FALSE","K70 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6297844722296007","","","29.234305087947725","0.9166892858757018","29.198611288163136","0.04089005973768127","TRUE","35216.625512607425","TRUE","3","22"
"51","C3","FALSE","K70 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.490201971413656","","","16.945203789155897","0.9373762903039987","16.955407971431253","0.037884817208041995","TRUE","13862.15352123108","TRUE","3","10"
"73","D1","FALSE","K70 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6228067399912085","","","27.639901806992157","0.9197344472262543","27.786991396038257","0.1292008311747187","TRUE","35216.625512607425","TRUE","3","19"
"73","D1","FALSE","K70 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.482142726988552","","","17.177984885964094","0.9220511109478639","17.19211336043909","0.05863171128518246","TRUE","13862.15352123108","TRUE","3","10"
"74","D2","FALSE","K70 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6286780917691996","","","27.882131198587693","0.9091907574159429","27.786991396038257","0.1292008311747187","TRUE","35216.625512607425","TRUE","3","21"
"74","D2","FALSE","K70 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4746403665343273","","","17.256518396633844","0.9137549715300104","17.19211336043909","0.05863171128518246","TRUE","13862.15352123108","TRUE","3","10"
"75","D3","FALSE","K70 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6232073748733056","","","27.838941182534917","0.9211565505564508","27.786991396038257","0.1292008311747187","TRUE","35216.625512607425","TRUE","3","20"
"75","D3","FALSE","K70 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4843666480930486","","","17.141836798719332","0.929796888518613","17.19211336043909","0.05863171128518246","TRUE","13862.15352123108","TRUE","3","10"
"97","E1","FALSE","K71 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6355879872044667","","","29.997219213059978","0.9241169836612019","29.94082809502846","0.08155694819952206","TRUE","35216.625512607425","TRUE","3","22"
"97","E1","FALSE","K71 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.48823631863001","","","17.691039830441525","0.9253835725158589","17.78961563398194","0.15657808503888015","TRUE","13862.15352123108","TRUE","3","12"
"98","E2","FALSE","K71 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6145301372043375","","","29.977951500754124","0.9193039882580122","29.94082809502846","0.08155694819952206","TRUE","35216.625512607425","TRUE","3","21"
"98","E2","FALSE","K71 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4780209639944637","","","17.970162078071212","0.9401933206714468","17.78961563398194","0.15657808503888015","TRUE","13862.15352123108","TRUE","3","12"
"99","E3","FALSE","K71 d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6284197905663644","","","29.84731357127128","0.918179726200951","29.94082809502846","0.08155694819952206","TRUE","35216.625512607425","TRUE","3","22"
"99","E3","FALSE","K71 d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4906021841723196","","","17.707644993433078","0.9379666237299881","17.78961563398194","0.15657808503888015","TRUE","13862.15352123108","TRUE","3","12"
"121","F1","FALSE","K71 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.633970794114838","","","29.298248487815584","0.9277648541860621","29.426163565894797","0.12302162775006777","TRUE","35216.625512607425","TRUE","3","21"
"121","F1","FALSE","K71 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.4896345488250042","","","18.016386676904958","0.9361239354183181","17.992940739578682","0.021328909724125","TRUE","13862.15352123108","TRUE","3","13"
"122","F2","FALSE","K71 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.628263151101028","","","29.54362456738579","0.9224773741000263","29.426163565894797","0.12302162775006777","TRUE","35216.625512607425","TRUE","3","22"
"122","F2","FALSE","K71 +dox d6","GAPDH","UNKNOWN","VIC","NFQ-MGB","AMP","2.48862962030316","","","17.974687961794274","0.930172613439686","17.992940739578682","0.021328909724125","TRUE","13862.15352123108","TRUE","3","13"
"123","F3","FALSE","K71 +dox d6","MYC","UNKNOWN","FAM","NFQ-MGB","AMP","2.6358996100568133","","","29.436617642483014","0.9251189705083467","29.426163565894797","0.12302162775006777","TRUE","35216.625512607425","TRUE","3","23"
